B,n,n_plus_1,bit_length_n,source,method,note,factorization_n,factorization_n_plus_1
100,166055401586083680,166055401586083681,58,"Bruno et al., Cryptographic Smooth Neighbors, ePrint 2022/1439, Introduction","Lehmer exhaustive computation (Luca–Najman result, quoted by Bruno et al.)","Largest pair in the complete set of 13,374 100-smooth twins.",2^5*3^3*5*11^3*23*43*59*67*83*89,7^2*17^10*41^2
200,589864439608716991201560,589864439608716991201561,79,"Bruno et al., Cryptographic Smooth Neighbors, ePrint 2022/1439, Introduction",Original CHM,"Largest pair reported from the CHM B=200 run; paper says 346,192 pairs were found.",2^3*3^3*5*7^2*11^2*17*31*59^2*83*139^2*173*181,13^2*113^2*127^2*137^2*151^2*199^2
113,19316158377073923834000,19316158377073923834001,75,"Bruno et al., Cryptographic Smooth Neighbors, ePrint 2022/1439, Introduction",Lehmer/Pell exhaustive search (quoted prior result),Largest pair from the reported exhaustive 113-smooth computation.,2^4*3^6*5^3*7*23^2*29*47*59*61*73*97*103,13^2*31^2*37^2*43^4*71^4
547,4012031241848866526424165796047749375,4012031241848866526424165796047749376,122,"Bruno et al., Cryptographic Smooth Neighbors, ePrint 2022/1439, Eq. (1)",Optimized CHM,"Largest pair in their B=547 run; the paper reports convergence with 82,026,426 pairs.",5^4*7*13^2*17^2*19*29*41*109*163*173*239*241^2*271*283*499*509,2^8*3^2*31^2*43^2*47^2*83^2*103^2*311^2*479^2*523^2
16759,44746808406030847930450201970587971020922341276429366152081686798603000000,44746808406030847930450201970587971020922341276429366152081686798603000001,245,"Buzek et al., Finding twin smooth integers by solving Pell equations, arXiv:2211.04315",Pell-equation targeted search,"Published 245-bit example; smoothness bound 16,759.",,
24551,1248045507865502270977250845951694434798578493856490782548653674169732908101560,1248045507865502270977250845951694434798578493856490782548653674169732908101561,260,"Buzek et al., Finding twin smooth integers by solving Pell equations, arXiv:2211.04315",Pell-equation targeted search,"Published 260-bit example; smoothness bound 24,551.",,
